,preferredLabel_x,Reduced_pref_seperate_en,Reduced_pref_com,Reduced_pref_obj,Reduced_pref_amod
3290,implement hedging strategies for clients,"['hedging strategies_com', 'implement hedging strategies_obj', 'No change']",hedging strategies_com,implement hedging strategies_obj,No change
3291,manage radiology information system,"['radiology information system_com', 'No change', 'No change']",radiology information system_com,No change,No change
3293,calculate purchasing levels of raw materials,"['purchasing levels_com', 'calculate purchasing levels_obj', 'raw materials_amod']",purchasing levels_com,calculate purchasing levels_obj,raw materials_amod
3296,develop food safety programmes,"['food safety programmes_com', 'No change', 'No change']",food safety programmes_com,No change,No change
3298,system backup best practice,"['No change', 'backup best practice_obj', 'best practice_amod']",No change,backup best practice_obj,best practice_amod
3299,manufacturing process of ice cream,"['manufacturing process_com', 'No change', 'No change']",manufacturing process_com,No change,No change
3301,coat inside of tyres,"['No change', 'No change', 'No change']",No change,No change,No change
3303,carry out routine maintenance of wood cutting machinery,"['wood cutting machinery_com', 'carry out routine maintenance_obj', 'routine maintenance of wood cutting machinery_amod']",wood cutting machinery_com,carry out routine maintenance_obj,routine maintenance of wood cutting machinery_amod
3304,manage offset printing process,"['printing process_com', 'No change', 'No change']",printing process_com,No change,No change
3305,coordinate with creative departments,"['No change', 'No change', 'creative departments_amod']",No change,No change,creative departments_amod
3306,manage waste treatment facility,"['waste treatment facility_com', 'No change', 'No change']",waste treatment facility_com,No change,No change
3307,coordinate finishing room in footwear manufacturing,"['footwear manufacturing_com', 'coordinate finishing room_obj', 'finishing room in footwear manufacturing_amod']",footwear manufacturing_com,coordinate finishing room_obj,finishing room in footwear manufacturing_amod
3310,define an approach to your fight dicipline,"['fight dicipline_com', 'define an approach_obj', 'No change']",fight dicipline_com,define an approach_obj,No change
3311,align content with form,"['No change', 'No change', 'align content_amod']",No change,No change,align content_amod
3313,review waste-treatment facilities construction plans,"['waste-treatment facilities construction plans_com', 'No change', 'No change']",waste-treatment facilities construction plans_com,No change,No change
3319,assess sugar levels in tobacco leaves,"['sugar levels_com', 'No change', 'assess sugar_amod']",sugar levels_com,No change,assess sugar_amod
3320,tend equipment for oil extraction,"['oil extraction_com', 'No change', 'tend equipment_amod']",oil extraction_com,No change,tend equipment_amod
3323,work in partnership with social services users,"['services users_com', 'No change', 'social services users_amod']",services users_com,No change,social services users_amod
3325,influence of winds and currents in the steering of ships,"['No change', 'No change', 'No change']",No change,No change,No change
3330,formulate a case conceptualisation model for therapy,"['case conceptualisation model_com', 'formulate a case conceptualisation model_obj', 'No change']",case conceptualisation model_com,formulate a case conceptualisation model_obj,No change
3331,identify faults in utility meters,"['utility meters_com', 'identify faults_obj', 'No change']",utility meters_com,identify faults_obj,No change
3332,tend cold extrusion machine,"['extrusion machine_com', 'No change', 'cold extrusion machine_amod']",extrusion machine_com,No change,cold extrusion machine_amod
3333,analyse the original actor's way of speaking,"['No change', ""analyse the original actor 's way_obj"", ""original actor 's way of speaking_amod""]",No change,analyse the original actor 's way_obj,original actor 's way of speaking_amod
3335,provide cost benefit analysis reports,"['cost benefit analysis reports_com', 'No change', 'No change']",cost benefit analysis reports_com,No change,No change
3338,mechanical requirements for vehicles in urban areas,"['No change', 'No change', 'mechanical requirements_amod']",No change,No change,mechanical requirements_amod
3340,finish processing of man-made fibres,"['finish processing_com', 'No change', 'man-made fibres_amod']",finish processing_com,No change,man-made fibres_amod
3341,manage personal professional development in sport,"['No change', 'manage personal professional development_obj', 'personal professional development in sport_amod']",No change,manage personal professional development_obj,personal professional development in sport_amod
3342,documentation concerning meat production,"['meat production_com', 'No change', 'No change']",meat production_com,No change,No change
3345,implement risk management for works of art,"['risk management_com', 'implement risk management_obj', 'No change']",risk management_com,implement risk management_obj,No change
3346,spot welding machine parts,"['spot welding_com', 'welding machine parts_obj', 'No change']",spot welding_com,welding machine parts_obj,No change
3348,edit greeting card sentiments,"['greeting card sentiments_com', 'No change', 'No change']",greeting card sentiments_com,No change,No change
3352,perform detailed food processing operations,"['food processing operations_com', 'No change', 'detailed food processing operations_amod']",food processing operations_com,No change,detailed food processing operations_amod
3353,manufacture of electrical wire products,"['wire products_com', 'No change', 'electrical wire products_amod']",wire products_com,No change,electrical wire products_amod
3354,take samples during autopsy,"['No change', 'take samples_obj', 'No change']",No change,take samples_obj,No change
3356,follow an environmental friendly policy while processing food,"['No change', 'No change', 'environmental friendly policy while processing food_amod']",No change,No change,environmental friendly policy while processing food_amod
3357,reduce environmental impact of footwear manufacturing,"['footwear manufacturing_com', 'reduce environmental impact_obj', 'environmental impact of footwear manufacturing_amod']",footwear manufacturing_com,reduce environmental impact_obj,environmental impact of footwear manufacturing_amod
3359,advise customers on audiology products,"['audiology products_com', 'advise customers_obj', 'No change']",audiology products_com,advise customers_obj,No change
